Sensor ID,Sensor Type,Location,Timestamp,Value,Risk Level
S44,Motion Sensor,Room A5,2025-01-07 23:33:24,5.0,Low
S1,Motion Sensor,Room C1,2025-01-04 22:11:30,0.0,Medium
S9,Temperature Sensor,Room C5,2025-01-01 05:24:13,51.8,High
S36,Fire Alarm,Room B2,2025-01-07 19:45:07,1.0,High
S7,Temperature Sensor,Room B1,2025-01-07 11:27:25,43.7,Low
S16,Temperature Sensor,Room A5,2025-01-06 14:27:45,46.3,Low
S41,Temperature Sensor,Room C1,2025-01-05 13:15:04,80.8,High
S4,Motion Sensor,Room C3,2025-01-05 05:29:27,3.0,Low
S23,Temperature Sensor,Room B3,2025-01-02 13:31:48,30.7,Low
S30,Fire Alarm,Room B5,2025-01-06 14:45:27,1.0,High
S48,Motion Sensor,Room A3,2025-01-04 11:05:46,,Low
S10,Motion Sensor,Room A1,2025-01-04 11:37:33,5.0,Low
S5,Temperature Sensor,Room C2,2025-01-04 11:28:32,150.0,High
S5,Temperature Sensor,Room B5,2025-01-06 20:36:16,23.0,Low
S12,Temperature Sensor,Room A1,2025-01-01 11:45:58,81.7,High
S9,Motion Sensor,Room C1,2025-01-06 22:39:21,4.0,Low
S31,Temperature Sensor,Room C4,2025-01-04 20:35:11,44.9,Low
S29,Temperature Sensor,Room A4,2025-01-04 15:23:19,53.2,High
S38,Fire Alarm,Room A1,2025-01-06 06:23:43,1.0,High
S4,Temperature Sensor,Room A4,2025-01-06 10:27:49,73.3,High
S26,Motion Sensor,Room B4,2025-01-05 09:32:55,9.0,Low
S9,Fire Alarm,Room C2,2025-01-01 18:43:28,1.0,High
S19,Motion Sensor,Room A2,2025-01-01 01:01:36,10.0,Low
S8,Motion Sensor,Room B5,2025-01-04 14:26:26,4.0,Low
S26,Fire Alarm,Room B2,2025-01-04 16:04:34,1.0,High
S4,Motion Sensor,Room C3,2025-01-04 02:45:14,1.0,Low
S4,Motion Sensor,Room B3,2025-01-04 06:48:54,7.0,Low
S11,Fire Alarm,Room C5,2025-01-07 16:59:27,0.0,Low
S21,Fire Alarm,Room C2,2025-01-07 07:28:09,0.0,Low
S24,Fire Alarm,Room C3,2025-01-04 06:22:40,1.0,High
S29,Motion Sensor,Room A2,2025-01-06 05:23:12,2.0,Low
S17,Motion Sensor,Room A3,2025-01-06 07:24:25,9.0,Low
S27,Fire Alarm,Room A5,2025-01-05 23:57:33,0.0,Low
S13,Motion Sensor,Room C5,2025-01-05 15:48:01,9.0,Low
S12,Motion Sensor,Room A5,2025-01-02 05:19:55,,Low
S40,Fire Alarm,Room B4,2025-01-07 17:23:56,0.0,Low
S6,Fire Alarm,Room A5,2025-01-03 11:04:03,1.0,High
